,BofA US High Yield Index,DATE
0,1.72599,01/2013
1,0.01382,02/2013
2,1.12919,03/2013
3,1.08526,04/2013
4,1.56912,05/2013
5,-2.73934,06/2013
6,0.47964,07/2013
7,0.01509,08/2013
8,0.55247,09/2013
9,1.62103,10/2013
10,1.18089,11/2013
11,0.65723,12/2013
12,1.07487,01/2014
13,0.87364,02/2014
14,1.04621,03/2014
15,0.66026,04/2014
16,0.88867,05/2014
17,0.99437,06/2014
18,-0.00757,07/2014
19,-0.27603,08/2014
20,-0.25902,09/2014
21,-0.67733,10/2014
22,0.25513,11/2014
23,-2.15708,12/2014
24,0.61587,01/2015
25,1.83100,02/2015
26,0.33258,03/2015
27,1.13435,04/2015
28,0.33227,05/2015
29,-0.67225,06/2015
30,-0.98550,07/2015
31,-1.70481,08/2015
32,-0.65619,09/2015
33,-0.38122,10/2015
34,-0.62991,11/2015
35,-2.99526,12/2015
36,-2.13674,01/2016
37,-1.42243,02/2016
38,5.56606,03/2016
39,2.98030,04/2016
40,1.78585,05/2016
41,1.39629,06/2016
42,2.68273,07/2016
43,1.78136,08/2016
44,0.79624,09/2016
45,1.35230,10/2016
46,-1.12952,11/2016
47,1.71922,12/2016
48,1.68798,01/2017
49,1.08286,02/2017
50,-0.04782,03/2017
51,1.09034,04/2017
52,1.00766,05/2017
53,0.64254,06/2017
54,0.50412,07/2017
55,0.30194,08/2017
56,0.78066,09/2017
57,0.71545,10/2017
58,-0.37884,11/2017
59,0.34350,12/2017
60,0.88360,01/2018
61,-1.16087,02/2018
62,-0.26257,03/2018
63,0.49523,04/2018
64,-0.01179,05/2018
65,0.57344,06/2018
66,0.20423,07/2018
67,1.07922,08/2018
68,0.55404,09/2018
69,-0.57101,10/2018
70,-1.27691,11/2018
71,-1.32255,12/2018
72,1.80463,01/2019
73,2.32688,02/2019
74,1.11558,03/2019
75,1.57879,04/2019
76,-0.06925,05/2019
77,0.85292,06/2019
78,1.09099,07/2019
79,-0.12546,08/2019
80,1.22393,09/2019
81,-0.06923,10/2019
82,0.32095,11/2019
83,1.37270,12/2019
84,1.26101,01/2020
85,0.07161,02/2020
86,-11.04088,03/2020
87,-0.49390,04/2020
88,3.14480,05/2020
89,5.01153,06/2020
90,1.30316,07/2020
91,2.70334,08/2020
92,-0.06684,09/2020
93,0.59938,10/2020
94,2.26807,11/2020
95,2.24744,12/2020
96,1.08780,01/2021
97,0.79495,02/2021
98,-0.55995,03/2021
99,1.13156,04/2021
100,0.39517,05/2021
101,0.94626,06/2021
102,0.87781,07/2021
103,-0.02646,08/2021
104,0.94921,09/2021
105,-0.45028,10/2021
106,-0.01287,11/2021
107,0.23768,12/2021
108,-0.56375,01/2022
109,-2.46499,02/2022
110,-1.34038,03/2022
111,-1.61209,04/2022
112,-3.22395,05/2022
113,-2.03930,06/2022
114,-0.40364,07/2022
115,3.38678,08/2022
116,-3.70693,09/2022
117,-1.52896,10/2022
118,.,11/2022
