,CAUR,DATE
0,11.2,01/2012
1,11.0,02/2012
2,11.0,03/2012
3,10.9,04/2012
4,10.8,05/2012
5,10.7,06/2012
6,10.5,07/2012
7,10.3,08/2012
8,10.2,09/2012
9,10.0,10/2012
10,9.9,11/2012
11,9.8,12/2012
12,9.7,01/2013
13,9.5,02/2013
14,9.4,03/2013
15,9.3,04/2013
16,9.2,05/2013
17,9.1,06/2013
18,9.0,07/2013
19,8.9,08/2013
20,8.8,09/2013
21,8.6,10/2013
22,8.5,11/2013
23,8.4,12/2013
24,8.2,01/2014
25,8.1,02/2014
26,8.0,03/2014
27,7.8,04/2014
28,7.7,05/2014
29,7.6,06/2014
30,7.5,07/2014
31,7.4,08/2014
32,7.3,09/2014
33,7.2,10/2014
34,7.1,11/2014
35,6.9,12/2014
36,6.8,01/2015
37,6.7,02/2015
38,6.6,03/2015
39,6.5,04/2015
40,6.4,05/2015
41,6.3,06/2015
42,6.2,07/2015
43,6.0,08/2015
44,5.9,09/2015
45,5.8,10/2015
46,5.8,11/2015
47,5.7,12/2015
48,5.7,01/2016
49,5.6,02/2016
50,5.6,03/2016
51,5.5,04/2016
52,5.5,05/2016
53,5.5,06/2016
54,5.5,07/2016
55,5.5,08/2016
56,5.5,09/2016
57,5.5,10/2016
58,5.4,11/2016
59,5.4,12/2016
60,5.2,01/2017
61,5.1,02/2017
62,5.0,03/2017
63,5.0,04/2017
64,4.9,05/2017
65,4.9,06/2017
66,4.8,07/2017
67,4.8,08/2017
68,4.7,09/2017
69,4.6,10/2017
70,4.5,11/2017
71,4.5,12/2017
72,4.4,01/2018
73,4.3,02/2018
74,4.3,03/2018
75,4.2,04/2018
76,4.2,05/2018
77,4.2,06/2018
78,4.2,07/2018
79,4.2,08/2018
80,4.2,09/2018
81,4.3,10/2018
82,4.3,11/2018
83,4.3,12/2018
84,4.3,01/2019
85,4.2,02/2019
86,4.2,03/2019
87,4.1,04/2019
88,4.1,05/2019
89,4.0,06/2019
90,4.0,07/2019
91,4.1,08/2019
92,4.1,09/2019
93,4.1,10/2019
94,4.1,11/2019
95,4.1,12/2019
96,4.1,01/2020
97,4.1,02/2020
98,5.5,03/2020
99,15.9,04/2020
100,16.1,05/2020
101,14.1,06/2020
102,13.4,07/2020
103,11.9,08/2020
104,10.3,09/2020
105,9.5,10/2020
106,9.2,11/2020
107,9.2,12/2020
108,8.8,01/2021
109,8.6,02/2021
110,8.4,03/2021
111,8.3,04/2021
112,7.9,05/2021
113,7.9,06/2021
114,7.4,07/2021
115,7.0,08/2021
116,6.4,09/2021
117,6.1,10/2021
118,5.8,11/2021
119,5.8,12/2021
120,5.7,01/2022
121,5.3,02/2022
122,4.8,03/2022
123,4.6,04/2022
124,4.3,05/2022
125,4.2,06/2022
126,3.9,07/2022
127,4.1,08/2022
128,3.9,09/2022
