,DFF,DATE
0,0.1425806451612903,01/2013
1,0.145,02/2013
2,0.1435483870967741,03/2013
3,0.145,04/2013
4,0.1090322580645161,05/2013
5,0.0936666666666666,06/2013
6,0.0925806451612903,07/2013
7,0.0829032258064516,08/2013
8,0.08,09/2013
9,0.0870967741935483,10/2013
10,0.0843333333333333,11/2013
11,0.0851612903225806,12/2013
12,0.0716129032258064,01/2014
13,0.0664285714285714,02/2014
14,0.0780645161290322,03/2014
15,0.0903333333333333,04/2014
16,0.0870967741935483,05/2014
17,0.0956666666666666,06/2014
18,0.0909677419354838,07/2014
19,0.0880645161290322,08/2014
20,0.0883333333333333,09/2014
21,0.0890322580645161,10/2014
22,0.092,11/2014
23,0.1225806451612903,12/2014
24,0.1148387096774193,01/2015
25,0.1107142857142857,02/2015
26,0.1129032258064516,03/2015
27,0.1246666666666666,04/2015
28,0.1232258064516129,05/2015
29,0.129,06/2015
30,0.1303225806451612,07/2015
31,0.1380645161290322,08/2015
32,0.136,09/2015
33,0.1235483870967741,10/2015
34,0.1176666666666666,11/2015
35,0.2406451612903225,12/2015
36,0.3429032258064516,01/2016
37,0.3751724137931034,02/2016
38,0.362258064516129,03/2016
39,0.3653333333333333,04/2016
40,0.3651612903225806,05/2016
41,0.3776666666666666,06/2016
42,0.3916129032258064,07/2016
43,0.396774193548387,08/2016
44,0.3963333333333333,09/2016
45,0.3964516129032258,10/2016
46,0.4066666666666666,11/2016
47,0.54,12/2016
48,0.6496774193548387,01/2017
49,0.6567857142857142,02/2017
50,0.7861290322580645,03/2017
51,0.896,04/2017
52,0.9074193548387096,05/2017
53,1.04,06/2017
54,1.1506451612903226,07/2017
55,1.1570967741935485,08/2017
56,1.153333333333333,09/2017
57,1.1538709677419356,10/2017
58,1.157,11/2017
59,1.3016129032258064,12/2017
60,1.414516129032258,01/2018
61,1.4175,02/2018
62,1.5061290322580645,03/2018
63,1.6923333333333332,04/2018
64,1.7,05/2018
65,1.8196666666666668,06/2018
66,1.91,07/2018
67,1.9148387096774195,08/2018
68,1.9546666666666668,09/2018
69,2.187741935483871,10/2018
70,2.1976666666666667,11/2018
71,2.274193548387097,12/2018
72,2.4,01/2019
73,2.4,02/2019
74,2.4051612903225807,03/2019
75,2.4236666666666666,04/2019
76,2.390967741935484,05/2019
77,2.377666666666667,06/2019
78,2.402903225806452,07/2019
79,2.1258064516129034,08/2019
80,2.043,09/2019
81,1.8296774193548389,10/2019
82,1.5533333333333332,11/2019
83,1.550967741935484,12/2019
84,1.5506451612903227,01/2020
85,1.583103448275862,02/2020
86,0.652258064516129,03/2020
87,0.049,04/2020
88,0.05,05/2020
89,0.0776666666666666,06/2020
90,0.0925806451612903,07/2020
91,0.0951612903225806,08/2020
92,0.09,09/2020
93,0.09,10/2020
94,0.0863333333333333,11/2020
95,0.09,12/2020
96,0.0851612903225806,01/2021
97,0.0757142857142857,02/2021
98,0.0696774193548387,03/2021
99,0.069,04/2021
100,0.0580645161290322,05/2021
101,0.078,06/2021
102,0.0980645161290322,07/2021
103,0.092258064516129,08/2021
104,0.0793333333333333,09/2021
105,0.0790322580645161,10/2021
106,0.0796666666666666,11/2021
107,0.0796774193548387,12/2021
108,0.0793548387096774,01/2022
109,0.08,02/2022
110,0.2009677419354838,03/2022
111,0.33,04/2022
112,0.765483870967742,05/2022
113,1.205,06/2022
114,1.6758064516129032,07/2022
115,2.33,08/2022
116,2.555,09/2022
117,3.08,10/2022
