,Average DGS,DATE
0,2.7372727272727273,08/2013
1,2.8095,09/2013
2,2.6159090909090907,10/2013
3,2.7184210526315793,11/2013
4,2.9019047619047624,12/2013
5,2.8580952380952382,01/2014
6,2.7094736842105265,02/2014
7,2.7233333333333327,03/2014
8,2.7052380952380957,04/2014
9,2.559047619047619,05/2014
10,2.5985714285714283,06/2014
11,2.5422727272727275,07/2014
12,2.42,08/2014
13,2.5342857142857147,09/2014
14,2.304090909090909,10/2014
15,2.3255555555555554,11/2014
16,2.2072727272727275,12/2014
17,1.8815000000000002,01/2015
18,1.9752631578947368,02/2015
19,2.0427272727272725,03/2015
20,1.935,04/2015
21,2.1975000000000002,05/2015
22,2.3636363636363638,06/2015
23,2.3245454545454547,07/2015
24,2.167142857142857,08/2015
25,2.172857142857143,09/2015
26,2.07,10/2015
27,2.2631578947368416,11/2015
28,2.242727272727273,12/2015
29,2.085263157894737,01/2016
30,1.7795,02/2016
31,1.889090909090909,03/2016
32,1.8052380952380953,04/2016
33,1.8061904761904761,05/2016
34,1.6440909090909093,06/2016
35,1.504,07/2016
36,1.5565217391304347,08/2016
37,1.6304761904761906,09/2016
38,1.7645000000000004,10/2016
39,2.142,11/2016
40,2.491904761904762,12/2016
41,2.4325,01/2017
42,2.4189473684210525,02/2017
43,2.4817391304347827,03/2017
44,2.2973684210526315,04/2017
45,2.3036363636363633,05/2017
46,2.186818181818182,06/2017
47,2.318,07/2017
48,2.2091304347826086,08/2017
49,2.2020000000000004,09/2017
50,2.3600000000000003,10/2017
51,2.353333333333333,11/2017
52,2.4025,12/2017
53,2.583809523809524,01/2018
54,2.8589473684210525,02/2018
55,2.842380952380953,03/2018
56,2.869047619047619,04/2018
57,2.977727272727272,05/2018
58,2.9123809523809525,06/2018
59,2.8890476190476186,07/2018
60,2.889130434782609,08/2018
61,3.004210526315789,09/2018
62,3.152272727272728,10/2018
63,3.117,11/2018
64,2.8326315789473684,12/2018
65,2.713809523809524,01/2019
66,2.676315789473684,02/2019
67,2.570952380952381,03/2019
68,2.532380952380952,04/2019
69,2.395,05/2019
70,2.074,06/2019
71,2.059090909090909,07/2019
72,1.6263636363636365,08/2019
73,1.6994999999999998,09/2019
74,1.706818181818182,10/2019
75,1.8121052631578947,11/2019
76,1.8628571428571428,12/2019
77,1.7576190476190474,01/2020
78,1.5042105263157894,02/2020
79,0.8699999999999997,03/2020
80,0.6576190476190475,04/2020
81,0.674,05/2020
82,0.7286363636363636,06/2020
83,0.6236363636363637,07/2020
84,0.65,08/2020
85,0.6795238095238095,09/2020
86,0.7871428571428571,10/2020
87,0.8700000000000001,11/2020
88,0.9336363636363637,12/2020
89,1.0810526315789473,01/2021
90,1.2578947368421052,02/2021
91,1.6108695652173912,03/2021
92,1.6349999999999996,04/2021
93,1.6209999999999998,05/2021
94,1.5190909090909088,06/2021
95,1.3185714285714287,07/2021
96,1.2831818181818182,08/2021
97,1.3747619047619046,09/2021
98,1.5825,10/2021
99,1.5594999999999999,11/2021
100,1.465,12/2021
101,1.764,01/2022
102,1.9342105263157892,02/2022
103,2.1278260869565218,03/2022
104,2.7475,04/2022
105,2.8980952380952383,05/2022
106,3.1433333333333344,06/2022
107,2.8960000000000004,07/2022
108,2.8978260869565213,08/2022
109,3.5190476190476194,09/2022
