,Registered Date,Foreclosures
0,01/2014,1440
1,05/2014,503
2,04/2014,328
3,12/2014,829
4,10/2014,576
5,09/2014,512
6,02/2014,524
7,07/2014,437
8,06/2014,439
9,11/2014,957
10,03/2014,611
11,08/2014,443
12,04/2015,399
13,01/2015,4283
14,07/2015,264
15,11/2015,243
16,08/2015,421
17,05/2015,323
18,02/2015,725
19,10/2015,243
20,03/2015,580
21,06/2015,269
22,09/2015,228
23,12/2015,277
24,01/2016,3663
25,11/2016,331
26,12/2016,363
27,04/2016,329
28,06/2016,270
29,02/2016,493
30,03/2016,640
31,09/2016,267
32,08/2016,345
33,05/2016,421
34,10/2016,227
35,07/2016,289
36,01/2017,895
37,08/2017,85
38,11/2017,65
39,12/2017,43
40,04/2017,80
41,06/2017,108
42,03/2017,141
43,07/2017,81
44,10/2017,60
45,09/2017,61
46,05/2017,48
47,02/2017,87
48,10/2018,264
49,11/2018,239
50,01/2018,1485
51,06/2018,126
52,12/2018,193
53,07/2018,107
54,05/2018,132
55,04/2018,46
56,09/2018,150
57,02/2018,98
58,03/2018,81
59,08/2018,191
60,10/2019,244
61,06/2019,190
62,11/2019,371
63,04/2019,136
64,08/2019,180
65,12/2019,188
66,07/2019,279
67,01/2019,1126
68,02/2019,170
69,03/2019,160
70,05/2019,158
71,09/2019,115
72,02/2020,190
73,04/2020,200
74,07/2020,155
75,01/2020,1569
76,09/2020,102
77,12/2020,103
78,06/2020,144
79,05/2020,93
80,08/2020,97
81,03/2020,164
82,11/2020,115
83,10/2020,73
84,12/2021,94
85,01/2021,1133
86,03/2021,174
87,09/2021,68
88,10/2021,114
89,07/2021,43
90,08/2021,56
91,11/2021,96
92,02/2021,137
93,06/2021,57
94,04/2021,104
95,05/2021,58
96,05/2022,170
97,01/2022,875
98,06/2022,196
99,02/2022,174
100,03/2022,251
101,04/2022,139
102,07/2022,147
103,08/2022,214
104,09/2022,209
