,MORTGAGE30US,DATE
0,4.432,01/2014
1,4.3025,02/2014
2,4.3425,03/2014
3,4.3375,04/2014
4,4.192,05/2014
5,4.1625,06/2014
6,4.13,07/2014
7,4.115,08/2014
8,4.1625,09/2014
9,4.036,10/2014
10,3.9975,11/2014
11,3.864,12/2014
12,3.67,01/2015
13,3.71,02/2015
14,3.77,03/2015
15,3.672,04/2015
16,3.84,05/2015
17,3.9825,06/2015
18,4.046,07/2015
19,3.905,08/2015
20,3.89,09/2015
21,3.796,10/2015
22,3.9425,11/2015
23,3.964,12/2015
24,3.8725,01/2016
25,3.66,02/2016
26,3.694,03/2016
27,3.605,04/2016
28,3.6,05/2016
29,3.568,06/2016
30,3.44,07/2016
31,3.435,08/2016
32,3.46,09/2016
33,3.47,10/2016
34,3.77,11/2016
35,4.198,12/2016
36,4.15,01/2017
37,4.1675,02/2017
38,4.196,03/2017
39,4.045,04/2017
40,4.01,05/2017
41,3.904,06/2017
42,3.9675,07/2017
43,3.88,08/2017
44,3.805,09/2017
45,3.895,10/2017
46,3.922,11/2017
47,3.95,12/2017
48,4.0325,01/2018
49,4.33,02/2018
50,4.444,03/2018
51,4.4675,04/2018
52,4.586,05/2018
53,4.57,06/2018
54,4.5275,07/2018
55,4.55,08/2018
56,4.6275,09/2018
57,4.83,10/2018
58,4.866,11/2018
59,4.6375,12/2018
60,4.464,01/2019
61,4.37,02/2019
62,4.265,03/2019
63,4.1425,04/2019
64,4.072,05/2019
65,3.8025,06/2019
66,3.765,07/2019
67,3.616,08/2019
68,3.605,09/2019
69,3.688,10/2019
70,3.695,11/2019
71,3.72,12/2019
72,3.624,01/2020
73,3.465,02/2020
74,3.45,03/2020
75,3.306,04/2020
76,3.2325,05/2020
77,3.1625,06/2020
78,3.016,07/2020
79,2.935,08/2020
80,2.89,09/2020
81,2.834,10/2020
82,2.765,11/2020
83,2.684,12/2020
84,2.735,01/2021
85,2.81,02/2021
86,3.0825,03/2021
87,3.06,04/2021
88,2.9625,05/2021
89,2.975,06/2021
90,2.868,07/2021
91,2.8425,08/2021
92,2.9,09/2021
93,3.0675,10/2021
94,3.0675,11/2021
95,3.098,12/2021
96,3.445,01/2022
97,3.7625,02/2022
98,4.172,03/2022
99,4.9825,04/2022
100,5.23,05/2022
101,5.522,06/2022
102,5.4125,07/2022
103,5.2225,08/2022
104,6.112,09/2022
105,6.9,10/2022
106,6.88,11/2022
