APN,Registered Date,Property Type,Property Location,Zip Code,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Contact Phone
4239001009,01/07/2014,Multi-Family,"709 S 5TH AVE
Los Angeles, CA 90291
(33.99543225000008, -118.47180430799995)",90291,11,DCB UNITED LLC,DENNIS ANGEL,818-881-0311,NULL,NULL,,NULL
5006020018,05/12/2014,Single Family,"5409 S 7TH AVE
Los Angeles, CA 90043
(33.99278085000003, -118.32474203699996)",90043,8,ONE WEST BANK,LEAH COLLINS,800-468-1743,NULL,NULL,,NULL
5115024026,01/14/2014,Multi-Family,"4116 S MCKINLEY AVE
Los Angeles, CA 90011
(34.00868464300004, -118.26122711099998)",90011,9,Provident Funding Associates L.P.,Carlos Sims,626-485-8889,NULL,NULL,,NULL
5114031027,04/10/2014,Multi-Family,"1217 E MARTIN LUTHER KING JR BLVD
LOS ANGELES, CA 90011
(34.01123810000007, -118.25363933499995)",90011,9,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,NULL,NULL,,NULL
6074021008,01/27/2014,Single Family,"127 W 111TH PL
Los Angeles, CA 90061
(33.933947645000046, -118.27487012799998)",90061,8,Freddie Mac,Evelyn Reeves,323-299-7900,NULL,NULL,,NULL
2236017018,01/14/2014,Multi-Family,"14625 1 2 W GILMORE AVE
Los Angeles, CA 91411
(34.179331588000025, -118.45792960399996)",91411,6,Provident Funding Associates L.P.,Carlos Sims,626-485-8889,NULL,NULL,,NULL
5124022013,01/17/2014,Single Family,"833 W 23RD ST
Los Angeles, CA 90007
(34.032805359000065, -118.27854705899995)",90007,1,BBCN BANK,Joshua Yang,213-235-3061,NULL,NULL,,NULL
2511004001,12/04/2014,Single Family,"13488 W BERG ST
Los Angeles, CA 91342
(34.32101869500008, -118.42672012999998)",91342,7,MAPLE LEAF CAPITAL CO.,PETER WISSNER,310-472-3763,NULL,NULL,,NULL
5137029022,12/09/2014,Multi-Family,"1513 W 12TH PL
Los Angeles, CA 90015
(34.044876663000025, -118.27514782799994)",90015,1,McHugh Family Trust,Frank McHugh,866-611-1680,NULL,NULL,,NULL
4125014023,10/01/2014,Multi-Family,"8844 S RAMSGATE AVE
WESTCHESTER, CA 90045
(33.95659113500005, -118.38265687299997)",90045,11,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
5032022181,12/29/2014,Single Family,"3750 W SANTA ROSALIA DR
Los Angeles, CA 90008
(34.00827993200005, -118.33871055699996)",90008,8,Selene Finance,Amy West,713-587-9723,Bron Inc,Eric Moore,41707   Winchester RD 201 Temecula CA 92590,951-970-3899
7469005007,09/29/2014,Single Family,"854 W 29TH ST
SAN PEDRO, CA 90731
(33.71899638600007, -118.29683031499997)",90731,15,"US Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
5026007005,01/31/2014,Single Family,"4355 W DON LUIS DR
Los Angeles, CA 90008
(34.00619801900007, -118.34967280599994)",90008,8,"Deutsche Bank, as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
2683020016,09/05/2014,Single Family,"16642 W LOS ALIMOS ST
Los Angeles, CA 91344
(34.26557319900007, -118.49514953799996)",91344,12,SolutionStar,Paula Acosta,972-315-8837,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
4258017094,02/25/2014,Single Family,"2884 S SAWTELLE BLVD
Los Angeles, CA 90064
(34.02721909600007, -118.43216581399997)",90064,11,NSP LA TRUST,Laura Maier,310-535-9293,HMC Assets,Laura Maier,889   N Douglas ST 100 El Segundo CA 90245,310-535-9293
2315018021,05/06/2014,Single Family,"11128 W COHASSET ST
Los Angeles, CA 91352
(34.20659365400007, -118.37326923299997)",91352,2,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
2502023066,07/14/2014,Single Family,"14482 W FOOTHILL BLVD
SYLMAR, CA 91342
(34.32211631300004, -118.44928408199996)",91342,7,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405,877-339-8202
5420023001,01/23/2014,Single Family,"1849 N ECHO PARK AVE
Los Angeles, CA 90026
(34.08536438900006, -118.25294681399998)",90026,13,Green Tree,Jeremy Iverson,480-383-0648,Connie Renteria /  Five Brothers,Connie Renteria,5228   Halifax RD  Temple City CA 91780,626-453-0397
4248030005,04/09/2014,Single Family,"3772 S GRAND VIEW BLVD
Los Angeles, CA 90066
(34.00546862500005, -118.43166457099994)",90066,11,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405,909-289-1453
4125003027,01/13/2014,Single Family,"8329 S WINSFORD AVE
Los Angeles, CA 90045
(33.962550736000026, -118.38103215599995)",90045,11,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
2014025001,06/03/2014,Single Family,"7966 N WOODLAKE AVE
Los Angeles, CA 93063
(34.21524854300003, -118.63215726599998)",93063,12,BAC HOME LOANS SERVICING,ROEL RODRIGUEZ,800-669-2443,Safeguard Code Compliance,Code Violations,7105   CORPORATE DR   PLANO  TX 75024,877-340-0060
2010012024,09/04/2014,Single Family,"8620 N SANTA SUSANNA PL
Los Angeles, CA 91304
(34.22785210100005, -118.60597600299997)",91304,12,Capital One,Levitia Costner,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405,909-289-1453
2375020126,12/02/2014,Single Family,"13030 W VALLEYHEART DR
Los Angeles, CA 91604
(34.14668306600004, -118.41718038899995)",91604,2,"CITIMORTAGAE, INC",CODE VIOLATION,877-290-3997,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
5016013006,11/25/2014,Single Family,"1558 W 46TH ST
Los Angeles, CA 90062
(34.001863135000065, -118.30548971199994)",90062,8,JP Morgan Chase C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View CA 44125,877-340-0060
2108028003,10/31/2014,Single Family,"20725 W ARMINTA ST
Los Angeles, CA 91306
(34.21269844300008, -118.58578917799997)",91306,3,C/O Specialized Loan Services,Laura Roach,877-790-1035,Eddy Leon,Eddy Leon,1650   Ximeno AVE 90804 Long Beach CA 90804,866-627-2256
5048003052,04/08/2014,Single Family,"2521 S CURSON AVE
Los Angeles, CA 90016
(34.03360965100006, -118.36560079799995)",90016,10,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Field Asset Services c/o N&C Services Inc.-South,Bill Kleiser,2780   Dove Tail DR  San Marcos CA 92078,760-736-0067
2107015040,09/30/2014,Single Family,"8135 N LARAMIE AVE
Los Angeles, CA 91306
(34.21783070600003, -118.57301267699995)",91306,3,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
2601055027,10/27/2014,Single Family,"12847 N LOUISE AVE
Los Angeles, CA 91344
(34.30283338400005, -118.52239869799996)",91344,12,"Deutsche Bank National Trust Company, as tr c/o Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View OH 44125,877-340-0060
2034029045,10/27/2014,Single Family,"23939 W VANOWEN ST
Los Angeles, CA 91307
(34.19367772700008, -118.64783609699998)",91307,12,"U.S. Bank NA, c/o Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Safeguard Safeguard,7887   Safeguard   Valley View CA 44125,877-340-0060
5116011023,04/04/2014,Single Family,"1411 E 41ST PL
Los Angeles, CA 90011
(34.00801310400004, -118.24912898599996)",90011,9,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084
5115017008,03/07/2014,Single Family,"900 E 42ND PL
Los Angeles, CA 90011
(34.00660362200006, -118.259848982)",90011,9,Ocwen Financial Services,Reid Schermer,770-612-7007,PPS,Trevethan Aaron,30011   Ivy Glenn DR 224 Laguna Niguel CA 92677,949-612-0342
4118013053,09/10/2014,Single Family,"8152 E MANITOBA ST
Los Angeles, CA 90293
(33.95543539600004, -118.43726696499999)",90293,11,Jeanette Oghigian,Jeanette Oghigian,310-378-8677,Jeanette Oghigian,Jeanette Oghigian,17100   Gillette AVE  Irvine CA 92614,310-378-8677
2177040017,09/08/2014,Single Family,"19016 W DEVONPORT LANE
Los Angeles, CA 91356
(34.141659117000074, -118.54807499399999)",91356,3,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405,877-339-8202
7460012014,12/18/2014,Single Family,"1821 S PATTON AVE
SAN PEDRO, CA 90732
(33.727292815000055, -118.30567177299997)",90732,15,Select Portfolio Servicing,Code Violations,888-349-8964,MCS/2225,MCS Trashout,30262   Crown Valley PKWY B-228 Laguna Nigel CA 92677,866-563-1100
5511024015,01/20/2014,Single Family,"169 N HAYWORTH AVE
Los Angeles, CA 90048
(34.072230681000065, -118.36264289099995)",90048,5,Nationstar Mortgage LLC,Customer Service,877-367-0512,BAC Field Services Corporation,Resolution Center,30870   Russell Ranch RD  Westlake Village CA 91362,866-515-9759
6054024007,03/18/2014,Single Family,"540 W 98TH ST
Los Angeles, CA 90044
(33.94717353500005, -118.28402961599994)",90044,8,CALIFORNIA CREDIT UNION,DANNY P,818-291-5527,NULL,NULL,,NULL
2782007016,07/09/2014,Single Family,"8454 N OAKDALE AVE
Los Angeles, CA 91306
(34.22369121200006, -118.56665668999995)",91306,3,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Amy Whitcomb,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
