APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Mgmt Contact Phone,Property on Map
5003028023,01/25/2017,Single Family,1710 W 56TH ST,LOS ANGELES,CA,90062,8,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,POINT (-118.30723 33.99136)
5534011013,08/31/2017,Multi-Family,1200 N GORDON ST,HOLLYWOOD,CA,90038,13,"NPI Debt Fund I, LP",Daniel Bien,949-386-7536,NULL,NULL,,NULL,POINT (-118.31997 34.09274)
2429004015,11/01/2017,Single Family,7241 W WOODROW WILSON DR,LOS ANGELES,CA,90068,4,"D. Benz, LLC","Brad Hakala, Esq.",562-432-5023,NULL,NULL,,NULL,POINT (-118.3503 34.12422)
5052020009,12/27/2017,Single Family,2260 W 29TH ST,LOS ANGELES,CA,90018,10,Champion Mortgage,Jennifer Hathaway,972-894-2950,NULL,NULL,,NULL,POINT (-118.31658 34.02897)
6013003020,04/10/2017,Single Family,7018 1/4 S VERMONT AVE,LOS ANGELES,CA,90044,8,"Danco, Inc.",Ronald Perlstein,310-842-8235,NULL,NULL,,NULL,POINT (-118.29132 33.97584)
2275033005,01/24/2017,Single Family,14663 W DEERVALE PL,LOS ANGELES,CA,91403,4,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,NULL,NULL,,NULL,POINT (-118.45400000000001 34.13736)
5015006011,01/23/2017,Single Family,1852 W 49TH ST,LOS ANGELES,CA,90062,8,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,NULL,NULL,,NULL,POINT (-118.31317000000001 33.99887)
5213032097,01/27/2017,Single Family,4760 E TEMPLETON ST,LOS ANGELES,CA,90032,14,Law Offices of Pamela Abbott Moore,Pamela Moore,714-288-0180,NULL,NULL,,NULL,POINT (-118.18159 34.08211)
5577030001,01/31/2017,Vacant Residential,2401 N SAN MARCO DR,LOS ANGELES,CA,90068,4,Gerald Feldman,Gerald Feldman,310-203-5430,NULL,NULL,,NULL,POINT (-118.33120000000001 34.1147)
5592023007,01/04/2017,Multi-Family,3301 N LOWRY RD,LOS ANGELES,CA,90027,4,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,NULL,NULL,,NULL,POINT (-118.27919 34.11371)
5512009019,01/04/2017,Single Family,116 S GARDNER ST,LOS ANGELES,CA,90036,5,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,POINT (-118.35306 34.07302)
6018013002,01/03/2017,Single Family,7406 S LA SALLE AVE,LOS ANGELES,CA,90047,8,Selene Finance LP,Grace Wesson,951-428-2250,M&M Mortgage Co,Deborah Prado,12901  SW 132 AVE  Miami FL 33186,800-336-4890,POINT (-118.3056 33.97247)
6004007020,06/28/2017,Multi-Family,950 W 59TH DR,LOS ANGELES,CA,90044,9,"U.S. Bank, N.A. C/O Select Portfolio Servicing",N/A N/A,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,POINT (-118.29094999999998 33.9861)
