APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,Longitude,Latitude,Property on Map
2004019019,10/28/2019,Single Family,8560 N RUDNICK AVE,LOS ANGELES,CA,93063,12,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Remedy Field Services Inc,Agnes Mella,15615   Alton PKWY  IRVINE CA 92618,888-540-4490,-118.61291,34.22684,POINT (-118.61291 34.22684)
2134029009,06/07/2019,Single Family,6452 N JUMILLA AVE,LOS ANGELES,CA,91367,3,Residential First Capital,Stephen Solorio,949-783-7920,NULL,NULL,,NULL,-118.56314,34.18823,POINT (-118.56314 34.18823)
2163016017,11/05/2019,Single Family,19255 W REDWING ST,LOS ANGELES,CA,91356,3,First National funding Corp,Michael Nikravesh,818-285-5626,NULL,NULL,,NULL,-118.55295,34.17097,POINT (-118.55295 34.17097)
2378026016,04/10/2019,Vacant Residential,11258 W LAURIE DR,LOS ANGELES,CA,91604,2,Cal Pac Capital,Justin Johnson,949-383-4763,NULL,NULL,,NULL,-118.37539,34.13644,POINT (-118.37539000000001 34.13644)
2376001011,10/28/2019,Single Family,4148 N SUNSWEPT DR,LOS ANGELES,CA,91604,2,Aztec Financial,Chloe Allton,818-848-8960,Aztec Financial,Chloe Allton,2624  W MAGNOLIA  BLVD  BURBANK CA 91505,818-848-8960,-118.40584,34.14129,POINT (-118.40584 34.14129)
2403008013,08/09/2019,Non-Residential,0,,CA,0,2,"MJS Enterprise, Inc.",John Arbucci,818-807-7361,NULL,NULL,,NULL,,,
2542008007,12/06/2019,Vacant Residential,10340 N CLYBOURN AVE,LOS ANGELES,CA,91040,7,TJ Schramm,TJ Schramm,936-689-3315,NULL,NULL,,NULL,-118.37082,34.2583,POINT (-118.37082 34.2583)
2532007079,11/06/2019,Single Family,12601 W VAN NUYS BLVD,LOS ANGELES,CA,91331,7,Strategic Emerging Economics,stewart oroz,818-885-8585,NULL,NULL,,NULL,-118.40765,34.27691,POINT (-118.40765 34.27691)
2257020009,07/26/2019,Single Family,5460  WHITE OAK,LOS ANGELES,CA,91436,5,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.51815,34.17036,POINT (-118.51815000000002 34.17036)
5108012011,01/04/2019,Single Family,693 E 51ST ST,LOS ANGELES,CA,90011,9,SN SERVICING CO,SN SERVICING,800-603-0836,NULL,NULL,,NULL,-118.26307,33.99671,POINT (-118.26307 33.99671)
4356006014,10/11/2019,Single Family,1524 N BENEDICT CANYON DR,LOS ANGELES,CA,90210,5,SUPERIOR LOAN SERVICING,BARRY HARARI,818-483-0027,NULL,NULL,,NULL,-118.43188,34.09936,POINT (-118.43188000000002 34.09936)
4377020004,02/11/2019,Single Family,1200 N LINDA FLORA DR,LOS ANGELES,CA,90049,5,Modern Asset Management,Stephen Wheeler,951-694-3903,NULL,NULL,,NULL,-118.46549,34.09203,POINT (-118.46549000000002 34.09203)
5684024018,11/20/2019,Single Family,2545 S MEDLOW AVE,LOS ANGELES,CA,90041,14,Fay Servicing LLC - Eric Moore,Eric Moore,877-338-3791,MCS-Bron,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,813-387-8306,-118.22327,34.12862,POINT (-118.22327 34.12862)
2530038011,02/22/2019,Single Family,11446 W TERRA VISTA WAY,LOS ANGELES,CA,91342,7,Kb Holdings,Greg Mkrchyan,818-339-6166,NULL,NULL,,NULL,-118.38134,34.28364,POINT (-118.38134 34.28364)
