APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,lon,lat,Property on Map
2134029009,02/26/2020,Single Family,6452 N JUMILLA AVE,LOS ANGELES,CA,91367,3,Myers Trust,Myers Trust,818-845-4000,NULL,NULL,,NULL,-118.56314,34.18823,POINT (-118.56314 34.18823)
2161009016,04/08/2020,Single Family,5351 N YOLANDA AVE,LOS ANGELES,CA,91356,3,Geraci LLP,Melissa Martorella,949-379-2600,LRES Corp.,Kathy Golden,765   The City Drive South  300 Orange CA 92868,800-434-6125,-118.54101,34.16797,POINT (-118.54101 34.16797)
2226029012,07/08/2020,Single Family,7430 N BALBOA BLVD,LOS ANGELES,CA,91406,6,K.A.R. Properties Inc,Richard Herrera,310-212-3056,NULL,NULL,,NULL,-118.5009,34.20559,POINT (-118.5009 34.20559)
2260017041,01/08/2020,Single Family,5184 N MAGNOLIA BLVD,LOS ANGELES,CA,91436,5,Specialized Loan Servicing LLC,n/a n/a,800-842-7654,NULL,NULL,,NULL,-118.48712,34.16464,POINT (-118.48711999999999 34.16464)
2286021032,09/01/2020,Single Family,3939 N HAYVENHURST DR,LOS ANGELES,CA,91436,5,City National Bank,Joe Shapard,213-673-8158,NULL,NULL,,NULL,-118.48566,34.14232,POINT (-118.48566 34.142320000000005)
2320013021,12/01/2020,Single Family,6745 N IRVINE AVE,LOS ANGELES,CA,91606,2,"PEAK FORECLOSURE SERVICES, INC.",Kelli Espinoza,818-591-9237,NULL,NULL,,NULL,-118.38575,34.19349,POINT (-118.38575 34.19349)
2325007007,12/01/2020,Single Family,6652 N ALCOVE AVE,LOS ANGELES,CA,91606,2,Alcove Lender,Greg Mkrchyan,818-339-6166,NULL,NULL,,NULL,-118.41266,34.19181,POINT (-118.41266 34.19181)
2415025023,06/11/2020,Single Family,5659 N AUCKLAND AVE,LOS ANGELES,CA,91601,2,United Capital Group,Karen Le,909-538-6289,NULL,NULL,,NULL,-118.3606,34.17378,POINT (-118.36059999999999 34.17378)
2783012001,07/09/2020,Single Family,8410 N CORBIN AVE,LOS ANGELES,CA,91324,12,SUPERIOR LOAN SERVICING,BARRY HARARI,818-483-0027,NULL,NULL,,NULL,-118.56211,34.22274,POINT (-118.56211 34.22274)
4223003007,01/23/2020,Single Family,12933 W WALSH AVE,LOS ANGELES,CA,90066,11,Scott Ehrlich,Scott Ehrlich,310-488-5095,NULL,NULL,,NULL,-118.43118,33.98646,POINT (-118.43118 33.98646)
4368023020,01/06/2020,Single Family,871 N LINDA FLORA DR,LOS ANGELES,CA,90049,5,"Med Equity, LLC",Justin Johnson,949-383-4763,NULL,NULL,,NULL,-118.46524,34.08248,POINT (-118.46524 34.08248)
5029027028,01/31/2020,Single Family,5383 W STILLWATER DR,LOS ANGELES,CA,90008,10,Citizens Business Bank,Tonya Anchondo,909-483-7293,NULL,NULL,,NULL,-118.36371,34.01624,POINT (-118.36371 34.01624)
5063009080,09/23/2020,Single Family,2131 S CLOVERDALE AVE,LOS ANGELES,CA,90016,10,damoder reddy,damoder reddy,310-541-8198,NULL,NULL,,NULL,-118.35509,34.03855,POINT (-118.35509000000002 34.03855)
5174021006,06/09/2020,Single Family,1430 E PENNSYLVANIA AVE,LOS ANGELES,CA,90033,14,United Capital Group,Karen Le,909-538-6289,NULL,NULL,,NULL,-118.22086,34.05021,POINT (-118.22086000000002 34.05021)
5510008007,07/23/2020,Single Family,6431 W 5TH ST,LOS ANGELES,CA,90048,5,"So-Cal Capital, Inc.",Jackie Lacy,949-521-7116,NULL,NULL,,NULL,-118.36863,34.06832,POINT (-118.36863 34.06832000000001)
