APN,Registered Date,Property Type,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone,lon,lat,Property on map
2340010012,12/28/2021 12:00:00 AM,Single Family,12026 W CALIFA ST,LOS ANGELES,CA,91607,2,Robert Khodorovsky,Robert Khodorovsky,818-486-9736,NULL,NULL,,NULL,-118.39509,34.17721,POINT (-118.39509 34.17721)
6083002006,01/13/2021 12:00:00 AM,Single Family,138 E LANZIT AVE,LOS ANGELES,CA,90061,15,Celink,Daniel Stack,866-727-4303,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.27255,33.92961,POINT (-118.27255 33.92961)
5014004009,01/07/2021 12:00:00 AM,Multi-Family,4517 S 9TH AVE,LOS ANGELES,CA,90043,8,"DANCO, INC.",RONALD PERLSTEIN,310-842-8234,NULL,NULL,,NULL,-118.32704,34.00219,POINT (-118.32704 34.00219)
5555007014,03/22/2021 12:00:00 AM,Single Family,1376 N MILLER PL,HOLLYWOOD,CA,90069,4,Commercial Group International Inc,Pamela Becker,310-804-3873,NULL,NULL,,NULL,-118.3766,34.09547,POINT (-118.3766 34.09547)
5055010013,01/07/2021 12:00:00 AM,Multi-Family,1352 1/2 W 29TH ST,LOS ANGELES,CA,90007,9,"DANCO, INC.",RONALD PERLSTEIN,310-842-8234,NULL,NULL,,NULL,-118.29052,34.02816,POINT (-118.29052 34.02816)
5071001033,01/21/2021 12:00:00 AM,Single Family,1717 S CRENSHAW BLVD,LOS ANGELES,CA,90019,10,SHELLPOINT MORTGAGE SERVICING,Shellpoint Servicing,800-365-7107,NULL,NULL,,NULL,-118.32956,34.04304,POINT (-118.32956 34.04304)
5104008020,12/10/2021 12:00:00 AM,Multi-Family,5213 1/2 S COMPTON AVE,LOS ANGELES,CA,90011,9,"Don F. King, M.D., Inc. Profit Sharing Plan",DON KING,562-698-5958,NULL,NULL,,NULL,-118.24798,33.99526,POINT (-118.24798 33.99526)
5477014005,09/29/2021 12:00:00 AM,Single Family,1015 W DEXTER ST,LOS ANGELES,CA,90042,1,SUPERIOR LOAN SERVICING,BARRY HARARI,818-483-0027,NULL,NULL,,NULL,-118.20818,34.11746,POINT (-118.20818 34.11746)
2172026061,10/08/2021 12:00:00 AM,Vacant Residential,4116 N CACHALOTE ST,LOS ANGELES,CA,91364,3,Stelo Investments LLC,gwidael buchon,310-384-4324,NULL,NULL,,NULL,-118.59379,34.14493,POINT (-118.59379 34.14493)
2339008006,07/12/2021 12:00:00 AM,Single Family,11860 W TIARA ST,LOS ANGELES,CA,91607,2,"PEAK FORECLOSURE SERVICES, INC.",Kelli Espinoza,818-591-9237,NULL,NULL,,NULL,-118.39105,34.17732,POINT (-118.39105 34.17732)
5425017009,10/08/2021 12:00:00 AM,Multi-Family,1611 N SILVER LAKE BLVD,LOS ANGELES,CA,90026,13,Esteban & Juan Molina,Juan Molina,323-807-2827,NULL,NULL,,NULL,-118.26935,34.0884,POINT (-118.26935 34.0884)
6029020019,01/28/2021 12:00:00 AM,Single Family,906 E 83RD ST,LOS ANGELES,CA,90001,9,MidFirst Bank,Erik Kenner,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.25829,33.96368,POINT (-118.25829 33.96368)
5057002014,01/14/2021 12:00:00 AM,Single Family,2430 S HARCOURT AVE,LOS ANGELES,CA,90016,10,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.34541,34.03386,POINT (-118.34541 34.03386)
5559008006,08/30/2021 12:00:00 AM,Single Family,1242 N SUNSET PLAZA DR,HOLLYWOOD,CA,90069,4,"KSM Holdings, LLC",Kian Salehi,917-676-6430,NULL,NULL,,NULL,-118.38149,34.09398,POINT (-118.38149 34.09398)
7416023018,01/04/2021 12:00:00 AM,Single Family,931 N NEPTUNE AVE,LOS ANGELES,CA,90744,15,Selene Finance,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.26902,33.78197,POINT (-118.26902 33.78197)
2569008001,01/23/2021 12:00:00 AM,Vacant Residential,6001 W SISTER ELSIE DR,LOS ANGELES,CA,91042,7,SUPERIOR LOAN SERVICING,BARRY HARARI,818-483-0027,Scott Jones,Scott Jones,1401   Caminto Faro   La Jolla CA 92037,858-405-6667,-118.26683,34.25403,POINT (-118.26683 34.25403)
4226013031,11/17/2021 12:00:00 AM,Single Family,4 E 20TH AVE,VENICE,CA,90291,11,"Mr. Cooper/Nationstar Mortgage, LLC.",Mr. Cooper,888-456-0714,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.47137,33.98494,POINT (-118.47137 33.98494)
5151002158,09/02/2021 12:00:00 AM,Single Family,716 W 1ST ST,LOS ANGELES,CA,90012,14,Selene Finance - Jefferson Office,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.25063,34.05662,POINT (-118.25063 34.05662)
2283011022,01/14/2021 12:00:00 AM,Single Family,16027 W DICKENS ST,LOS ANGELES,CA,91436,4,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,M&M Mortgage Co,Deborah Prado,12901  SW 132 AVE  Miami FL 33186,800-336-4890,-118.4823,34.15503,POINT (-118.4823 34.15503)
2128023011,01/07/2021 12:00:00 AM,Single Family,6162 N SYLVIA AVE,LOS ANGELES,CA,91335,3,RUSHMORE LOAN MANAGEMENT SERVICES,Property Preservation,949-341-5601,Safeguard Properties,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,-118.55222,34.18272,POINT (-118.55222 34.18272)
6006020012,01/29/2021 12:00:00 AM,Multi-Family,320 E GAGE AVE,LOS ANGELES,CA,90003,9,Mr. Cooper,Paula Acosta,800-468-1743,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.26876,33.9823,POINT (-118.26876 33.9823)
5003032029,11/17/2021 12:00:00 AM,Multi-Family,5719 S NORMANDIE AVE,LOS ANGELES,CA,90037,8,"Mr. Cooper/Nationstar Mortgage, LLC.",Mr. Cooper,888-456-0714,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.30036,33.98998,POINT (-118.30036 33.98998)
4419018050,01/06/2021 12:00:00 AM,Single Family,16959 W DULCE YNEZ LANE,LOS ANGELES,CA,90272,11,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.55077,34.04674,POINT (-118.55077 34.04674)
2647019005,01/20/2021 12:00:00 AM,Single Family,14153 W CLARETTA ST,LOS ANGELES,CA,91331,6,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.44198,34.2532,POINT (-118.44198 34.2532)
2110009017,01/28/2021 12:00:00 AM,Single Family,21901 W ARMINTA ST,LOS ANGELES,CA,93063,3,Mr. Cooper,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.60412,34.2138,POINT (-118.60412 34.2138)
7445019079,01/21/2021 12:00:00 AM,Single Family,1088 W VIA CORDOVA,SAN PEDRO,CA,90732,15,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.30015,33.75487,POINT (-118.30015 33.75487)
7559023011,03/28/2021 12:00:00 AM,Single Family,1760 W EL REY RD,LOS ANGELES,CA,90732,15,Mr. Cooper,Paula Acosta,800-468-1743,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.31439,33.74009,POINT (-118.31439 33.74009)
5128013021,01/29/2021 12:00:00 AM,Multi-Family,637 1/2 E 29TH ST,LOS ANGELES,CA,90011,9,CLLFIRMLLC401K Plan,Stephen Wheeler,951-694-3903,Center Street Lending Corp,Luis Montero,18301   Von Karman Ave. ste 330 AVE 330 irvine CA 92612,949-404-1186,-118.26352,34.01957,POINT (-118.26352 34.01957)
2601040095,07/15/2021 12:00:00 AM,Single Family,11737 W LOIS CT,LOS ANGELES,CA,91344,12,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,First Team Real Estate,Eddy Leon,20234   State ROAD  Cerritos CA 90703,562-461-1200,-118.52019,34.28407,POINT (-118.52019 34.28407)
2729024103,01/06/2021 12:00:00 AM,Single Family,18528  MAYALL AVE,LOS ANGELES,CA,91326,12,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Cyprexx - Physical Address,Code Compliance,525   Grand Regency BLVD  Brandon FL 33510,813-387-5891,-118.5363,34.2531,POINT (-118.5363 34.2531)
2076004022,10/28/2021 12:00:00 AM,Single Family,4838 N CALDERON ROAD,LOS ANGELES,CA,91364,3,Redwood BPL Holdings Inc. c/o CoreVest,Jeremy Mullins,949-288-7085,CoreVest,Jeremy Mullins,4   Park PLZ 900 Irvine CA 92614,949-288-7085,-118.62003,34.158,POINT (-118.62003 34.158)
5052025040,01/08/2021 12:00:00 AM,Multi-Family,2161 1/2 W 31ST ST,LOS ANGELES,CA,90018,10,JP Morgan Chase NA,Amy Lott,888-310-1506,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.31388,34.02658,POINT (-118.31388 34.02658)
5522009015,02/03/2021 12:00:00 AM,Single Family,645 N MANHATTAN PL,LOS ANGELES,CA,90004,13,Mr. Cooper,Paula Acosta,800-468-1743,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.31032,34.08295,POINT (-118.31032 34.08295)
4238012001,06/02/2021 12:00:00 AM,Multi-Family,1402 S MAIN ST,LOS ANGELES,CA,90291,11,"Citibank, N.A., as Trustee for the Registered Holders of Wells Fargo Commercial Mortgage Securities",Michael Sidlow,415-957-3169,Receivership Specialists,CJ Gross,1500   Palma DR 2 flr Ventura CA 93003,805-824-4429,-118.47183,33.98936,POINT (-118.47183 33.98936)
5437024025,01/08/2021 12:00:00 AM,Single Family,2931 N GRACIA ST,LOS ANGELES,CA,90039,13,Statebridge,Bryce Fendall,720-697-6421,"New Beginning Properties, Inc.",Jose Chavez,445  W 34th ST  San Bernardino CA 92405,877-339-8202,-118.26017,34.11125,POINT (-118.26017 34.11125)
5185021004,01/29/2021 12:00:00 AM,Multi-Family,2815 1/2 E INEZ ST,LOS ANGELES,CA,90023,14,Mr. Cooper,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.20798,34.03412,POINT (-118.20798 34.03412)
2678005002,12/21/2021 12:00:00 AM,Single Family,16342 W TUBA ST,LOS ANGELES,CA,91343,12,Carrington Mortgage Services,code compliance,866-563-1100,Pinelands Preservation,Will Wheelehan,44501   Auburn BLVD  Sacramento CA 95841,916-277-8243,-118.48878,34.2564,POINT (-118.48878 34.2564)
5486021023,01/05/2021 12:00:00 AM,Single Family,386 N KIRBY ST,LOS ANGELES,CA,90042,14,Fay Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   HIGHLAND DR  LEWISVILLE TX 75067,813-387-1100,-118.18328,34.12219,POINT (-118.18328 34.12219)
7351008010,10/05/2021 12:00:00 AM,Single Family,1612 W 206TH ST,LOS ANGELES,CA,90501,15,"AB Capital, LLC",Ryan Young,949-499-7800,AB Capital,Ryan Young,15   Corporate Plaza DR  Newport Beach CA 92660,949-290-1979,-118.30716,33.8437,POINT (-118.30716 33.8437)
5587023011,01/07/2021 12:00:00 AM,Single Family,1910 N WESTERN AVE,LOS ANGELES,CA,90027,4,JP Morgan Chase NA,Amy Lott,888-310-1506,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.30912,34.10569,POINT (-118.30912 34.10569)
6061025004,01/06/2021 12:00:00 AM,Single Family,542 W 105TH ST,LOS ANGELES,CA,90044,8,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.28426,33.94063,POINT (-118.28426 33.94063)
2375015054,10/28/2021 12:00:00 AM,Single Family,4242 N BEEMAN AVE,LOS ANGELES,CA,91604,4,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,First Team Real Estate,Eddy Leon,20234   State ROAD  Cerritos CA 90703,562-461-1200,-118.40717,34.14806,POINT (-118.40717 34.14806)
5404010028,04/28/2021 12:00:00 AM,Multi-Family,1731 W BELLEVUE AVE,LOS ANGELES,CA,90026,13,"JPMorgan Chase Bank, N.A.",Gary Norris,209-460-2080,Avalos,Lilia Avalos,1719   Bellevue   Los Angeles CA 90026,209-460-2080,-118.26295,34.07164,POINT (-118.26295 34.07164)
4360014024,04/15/2021 12:00:00 AM,Single Family,801 S WESTHOLME AVE,LOS ANGELES,CA,90024,5,PHH Mortgage/Ocwen Financial Corporation,Marquita Bullock,561-682-7547,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.43572,34.06622,POINT (-118.43572 34.06622)
2275005016,03/23/2021 12:00:00 AM,Single Family,4059 N KNOBHILL DR,LOS ANGELES,CA,91403,4,WSFS Bank,Diane Steiger,302-573-3291,Direct Realty,Noel Jaimes,15274   Granada Ave AVE  La Mirada CA 90638,562-964-4142,-118.44858,34.14407,POINT (-118.44858 34.14407)
5563026019,02/15/2021 12:00:00 AM,Single Family,2001 N OAKSTONE WAY,HOLLYWOOD,CA,90046,4,Fay Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   HIGHLAND DR  LEWISVILLE TX 75067,813-387-1100,-118.38375,34.10701,POINT (-118.38375 34.10701)
5017030051,01/23/2021 12:00:00 AM,Single Family,1040 W 46TH ST,LOS ANGELES,CA,90037,9,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Trevethan Aaron,27071   cabot RD  LAGUNA HILLS CA 92653,949-612-0342,-118.2931,34.00153,POINT (-118.2931 34.00153)
2701049042,01/05/2021 12:00:00 AM,Single Family,11353 N FERRARA LANE,LOS ANGELES,CA,91326,12,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.58151,34.27795,POINT (-118.58151 34.27795)
2761015010,01/08/2021 12:00:00 AM,Single Family,9800 N PENFIELD AVE,LOS ANGELES,CA,91311,12,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.56945,34.24805,POINT (-118.56945 34.24805)
2264006128,01/08/2021 12:00:00 AM,Single Family,4665 N WILLIS AVE,LOS ANGELES,CA,91403,4,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,First Team Real Estate,Eddy Leon,20234   State ROAD  Cerritos CA 90703,562-461-1200,-118.45545,34.15594,POINT (-118.45545 34.15594)
2565014112,05/24/2021 12:00:00 AM,Single Family,10142 N SAMOA AVE,LOS ANGELES,CA,91042,7,"Deutsche Bank National Trust Company, as Trustee",Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.2872,34.2537,POINT (-118.2872 34.2537)
4232025005,10/08/2021 12:00:00 AM,Non-Residential,4544 S CENTINELA AVE,LOS ANGELES,CA,90066,11,"APSEC RESOLUTION TRUST, LLC",ANISSA HONG,213-805-5278,NULL,NULL,,NULL,-118.42215,33.9922,POINT (-118.42215 33.9922)
2201020009,01/22/2021 12:00:00 AM,Single Family,7913 N LOUISE AVE,LOS ANGELES,CA,91325,12,US Bank National Association,Carrie Bratcher,800-365-7772,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.51004,34.21432,POINT (-118.51004 34.21432)
6033003031,01/07/2021 12:00:00 AM,Single Family,1349 W 84TH PL,LOS ANGELES,CA,90044,8,"DANCO, INC.",RONALD PERLSTEIN,310-842-8234,Los Angeles County Property Preservation,Eddie Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.29988,33.96175,POINT (-118.29988 33.96175)
2731006010,01/09/2021 12:00:00 AM,Single Family,18245 W SAN JOSE ST,LOS ANGELES,CA,91326,12,PHH Mortgage/Ocwen Financial Corporation,Marquita Bullock,561-682-7547,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.53125,34.26111,POINT (-118.53125 34.26111)
6014033010,07/02/2021 12:00:00 AM,Single Family,1322 W 71ST ST,LOS ANGELES,CA,90044,8,PHH Mortgage/Ocwen Financial Corporation,Marquita Bullock,561-682-7547,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.29885,33.97528,POINT (-118.29885 33.97528)
5048018004,01/14/2021 12:00:00 AM,Single Family,5571 W BODEN ST,LOS ANGELES,CA,90016,10,COMMUNITY LOAN SERVICING,Frances Guerra,954-590-7676,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.36815,34.02828,POINT (-118.36815 34.02828)
2423030052,04/03/2021 12:00:00 AM,Single Family,10650 W CHIQUITA ST,LOS ANGELES,CA,91602,2,Kenny Lim,Kenny Lim,818-913-2577,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.36406,34.14397,POINT (-118.36406 34.14397)
6016033009,01/06/2021 12:00:00 AM,Single Family,7028 S HAAS AVE,LOS ANGELES,CA,90047,8,RUSHMORE LOAN MANAGEMENT SERVICES,Property Preservation,949-341-5601,Safeguard Properties,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,-118.31671,33.97554,POINT (-118.31671 33.97554)
4326003067,01/08/2021 12:00:00 AM,Single Family,10550 W WILSHIRE BLVD 1-50,LOS ANGELES,CA,90024,5,SELECT PORTFOLIO SERVICING INC,Customer Department,801-293-3936,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.43255,34.06277,POINT (-118.43255 34.06277)
4004026011,01/05/2021 12:00:00 AM,Single Family,6222 S KENISTON AVE,LOS ANGELES,CA,90043,8,Cenlar FSB,Eric Moore,877-338-3791,Five Brothers Default Management,Ken Yatta,12220  E Thirteen Mile ROAD 100 Warren MI 48093,586-350-2737,-118.34163,33.98295,POINT (-118.34163 33.98295)
6055015041,02/01/2021 12:00:00 AM,Single Family,1514 W 99TH ST,LOS ANGELES,CA,90047,8,Mr. Cooper,Paula Acosta,800-468-1743,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.30309,33.94584,POINT (-118.30309 33.94584)
