APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Mgmt Contact Phone,lon,lat,Property on map
2042008014,05/16/2022,Single Family,22858 W DOLOROSA ST,LOS ANGELES,CA,91367,3,"LBC Capital Income Fund, LLC",Kirill Pilipenko,818-761-7234,NULL,NULL,,NULL,-118.62539,34.16994,POINT (-118.62539 34.16994)
2172033051,01/24/2022,Single Family,21221 W MULHOLLAND DR,LOS ANGELES,CA,91364,3,"4 Towers Development, Inc.",Avi Raceah,818-591-4913,NULL,NULL,,NULL,-118.59516,34.14367,POINT (-118.59516 34.14367)
2276029020,06/17/2022,Single Family,14606 W SUTTON ST,LOS ANGELES,CA,91403,4,andre berger,Stacy Sokol,310-266-8353,NULL,NULL,,NULL,-118.45269,34.14756,POINT (-118.45269 34.14756)
2542008007,01/24/2022,Vacant Residential,10340 N CLYBOURN AVE,LOS ANGELES,CA,91040,7,TJ Schramm,TJ Schramm,936-689-3315,NULL,NULL,,NULL,-118.37082,34.2583,POINT (-118.37082 34.2583)
4019003018,02/01/2022,Single Family,4227 W 58TH PL,LOS ANGELES,CA,90043,8,Reverse Mortgage Solutions,Shelly Martinez,281-404-7962,Guardian Asset Management,Gina Butler,2021   Hartel AVE  Levittown PA 19057,888-872-9094,-118.34874,33.9881,POINT (-118.34874 33.9881)
2669001030,06/24/2022,Single Family,10220 N DEMPSEY AVE,LOS ANGELES,CA,91343,12,"MO Financial, Inc",Jeffrey Donovan,310-552-5324,NULL,NULL,,NULL,-118.47702,34.25625,POINT (-118.47702 34.25625)
5023020022,05/19/2022,Multi-Family,4142 S SUTRO AVE,LOS ANGELES,CA,90008,10,MUFG Union Bank,Patrick Perez,858-795-0290,NULL,NULL,,NULL,-118.32293,34.00919,POINT (-118.32293 34.00919)
5014004009,03/18/2022,Multi-Family,4517 S 9TH AVE,LOS ANGELES,CA,90043,8,"Danco, Inc.",Ronald Perlstein,310-842-8235,NULL,NULL,,NULL,-118.32704,34.00219,POINT (-118.32704 34.00219)
5505016001,05/19/2022,Single Family,400 S ROSSMORE AVE,LOS ANGELES,CA,90020,5,LC Equity Group Inc,Brian Getz,818-437-1723,LC Equity Group,Brian Getz,5737   Kanan RD 559 Agoura Hills CA 91301,818-804-8313,-118.32714,34.0668,POINT (-118.32714 34.0668)
5517012030,05/02/2022,Single Family,125 S HOBART BLVD,LOS ANGELES,CA,90004,10,MUFG Union Bank,Patrick Perez,858-795-0290,NULL,NULL,,NULL,-118.30569,34.07294,POINT (-118.30569 34.07294)
6061028025,05/02/2022,Single Family,541 W 104TH ST,LOS ANGELES,CA,90044,8,California Prime Fund LLC,Alex Mehdiani,818-252-8552,NULL,NULL,,NULL,-118.28424,33.94245,POINT (-118.28424 33.94245)
6019013025,04/06/2022,Single Family,1106 1/2 W 74TH ST,LOS ANGELES,CA,90044,8,Celink,Daniel Stack,866-727-4303,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,800-639-2151,-118.29413,33.97263,POINT (-118.29413 33.97263)
6017005006,06/23/2022,Single Family,2126 W 73RD ST,LOS ANGELES,CA,90047,8,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   HIGHLAND DR  LEWISVILLE TX 75067,813-387-1100,-118.31661,33.97357,POINT (-118.31661 33.97357)
2697003008,01/06/2022,Single Family,17272 W SIMONDS ST,LOS ANGELES,CA,91344,12,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.51012,34.27642,POINT (-118.51012 34.27642)
