DATE,CPILFESL
2014-01-01,235.961
2014-02-01,236.185
2014-03-01,236.625
2014-04-01,237.072
2014-05-01,237.529
2014-06-01,237.837
2014-07-01,238.195
2014-08-01,238.405
2014-09-01,238.786
2014-10-01,239.191
2014-11-01,239.458
2014-12-01,239.584
2015-01-01,239.811
2015-02-01,240.172
2015-03-01,240.755
2015-04-01,241.346
2015-05-01,241.688
2015-06-01,242.064
2015-07-01,242.565
2015-08-01,242.817
2015-09-01,243.316
2015-10-01,243.768
2015-11-01,244.241
2015-12-01,244.547
2016-01-01,244.955
2016-02-01,245.510
2016-03-01,245.913
2016-04-01,246.551
2016-05-01,247.137
2016-06-01,247.540
2016-07-01,247.829
2016-08-01,248.423
2016-09-01,248.842
2016-10-01,249.142
2016-11-01,249.481
2016-12-01,249.920
2017-01-01,250.467
2017-02-01,250.998
2017-03-01,250.944
2017-04-01,251.227
2017-05-01,251.430
2017-06-01,251.746
2017-07-01,251.985
2017-08-01,252.535
2017-09-01,252.812
2017-10-01,253.526
2017-11-01,253.816
2017-12-01,254.344
2018-01-01,255.072
2018-02-01,255.568
2018-03-01,256.128
2018-04-01,256.603
2018-05-01,257.151
2018-06-01,257.449
2018-07-01,257.848
2018-08-01,258.028
2018-09-01,258.505
2018-10-01,258.997
2018-11-01,259.455
2018-12-01,259.934
2019-01-01,260.534
2019-02-01,260.885
2019-03-01,261.382
2019-04-01,261.958
2019-05-01,262.321
2019-06-01,262.945
2019-07-01,263.491
2019-08-01,264.135
2019-09-01,264.588
2019-10-01,265.019
2019-11-01,265.461
2019-12-01,265.742
2020-01-01,266.418
2020-02-01,267.083
2020-03-01,266.916
2020-04-01,265.771
2020-05-01,265.606
2020-06-01,266.088
2020-07-01,267.552
2020-08-01,268.662
2020-09-01,269.152
2020-10-01,269.332
2020-11-01,269.816
2020-12-01,269.984
2021-01-01,270.114
2021-02-01,270.522
2021-03-01,271.347
2021-04-01,273.669
2021-05-01,275.715
2021-06-01,277.922
2021-07-01,278.794
2021-08-01,279.306
2021-09-01,280.017
2021-10-01,281.705
2021-11-01,283.179
2021-12-01,284.770
2022-01-01,286.431
2022-02-01,287.878
2022-03-01,288.811
2022-04-01,290.455
2022-05-01,292.289
2022-06-01,294.354
2022-07-01,295.275
2022-08-01,296.950
2022-09-01,298.660
