,Registered Date
0,01/2014
1,05/2014
2,01/2014
3,04/2014
4,01/2014
5,01/2014
6,01/2014
7,12/2014
8,12/2014
9,10/2014
10,12/2014
11,09/2014
12,01/2014
13,09/2014
14,02/2014
15,05/2014
16,07/2014
17,01/2014
18,04/2014
19,01/2014
20,06/2014
21,09/2014
22,12/2014
23,11/2014
24,10/2014
25,04/2014
26,09/2014
27,10/2014
28,10/2014
29,04/2014
30,03/2014
31,09/2014
32,09/2014
33,12/2014
34,01/2014
35,03/2014
36,07/2014
37,03/2014
38,01/2014
39,12/2014
40,12/2014
41,06/2014
42,05/2014
43,01/2014
44,03/2014
45,01/2014
46,01/2014
47,11/2014
48,09/2014
49,07/2014
50,01/2014
51,09/2014
52,05/2014
53,01/2014
54,11/2014
55,12/2014
56,06/2014
57,06/2014
58,05/2014
59,01/2014
60,09/2014
61,09/2014
62,06/2014
63,05/2014
64,03/2014
65,01/2014
66,07/2014
67,08/2014
68,06/2014
69,08/2014
70,04/2014
71,06/2014
72,11/2014
73,12/2014
74,07/2014
75,11/2014
76,01/2014
77,11/2014
78,07/2014
79,10/2014
80,06/2014
81,03/2014
82,11/2014
83,09/2014
84,01/2014
85,10/2014
86,11/2014
87,11/2014
88,12/2014
89,09/2014
90,10/2014
91,02/2014
92,06/2014
93,01/2014
94,11/2014
95,11/2014
96,05/2014
97,09/2014
98,06/2014
99,02/2014
100,01/2014
101,01/2014
102,07/2014
103,10/2014
104,12/2014
105,03/2014
106,03/2014
107,07/2014
108,05/2014
109,08/2014
110,02/2014
111,01/2014
112,08/2014
113,10/2014
114,07/2014
115,08/2014
116,10/2014
117,06/2014
118,07/2014
119,01/2014
120,01/2014
121,11/2014
122,07/2014
123,02/2014
124,01/2014
125,11/2014
126,06/2014
127,12/2014
128,09/2014
129,02/2014
130,10/2014
131,10/2014
132,01/2014
133,02/2014
134,12/2014
135,01/2014
136,09/2014
137,07/2014
138,05/2014
139,11/2014
140,02/2014
141,12/2014
142,08/2014
143,01/2014
144,06/2014
145,10/2014
146,06/2014
147,09/2014
148,04/2014
149,02/2014
150,04/2014
151,01/2014
152,09/2014
153,05/2014
154,02/2014
155,09/2014
156,12/2014
157,01/2014
158,02/2014
159,11/2014
160,01/2014
161,10/2014
162,11/2014
163,12/2014
164,12/2014
165,08/2014
166,02/2014
167,12/2014
168,08/2014
169,02/2014
170,09/2014
171,03/2014
172,11/2014
173,07/2014
174,08/2014
175,01/2014
176,05/2014
177,01/2014
178,02/2014
179,01/2014
180,12/2014
181,11/2014
182,05/2014
183,05/2014
184,12/2014
185,10/2014
186,06/2014
187,09/2014
188,05/2014
189,07/2014
190,07/2014
191,08/2014
192,02/2014
193,05/2014
194,11/2014
195,11/2014
196,04/2014
197,01/2014
198,11/2014
199,10/2014
200,09/2014
201,11/2014
202,06/2014
203,01/2014
204,10/2014
205,10/2014
206,12/2014
207,10/2014
208,01/2014
209,02/2014
210,12/2014
211,11/2014
212,10/2014
213,11/2014
214,10/2014
215,01/2014
216,11/2014
217,02/2014
218,05/2014
219,01/2014
220,01/2014
221,01/2014
222,10/2014
223,05/2014
224,03/2014
225,01/2014
226,10/2014
227,11/2014
228,08/2014
229,12/2014
230,12/2014
231,05/2014
232,11/2014
233,01/2014
234,12/2014
235,08/2014
236,07/2014
237,12/2014
238,02/2014
239,01/2014
240,11/2014
241,10/2014
242,01/2014
243,12/2014
244,10/2014
245,04/2014
246,01/2014
247,01/2014
248,01/2014
249,06/2014
250,01/2014
251,05/2014
252,06/2014
253,06/2014
254,01/2014
255,04/2014
256,01/2014
257,11/2014
258,08/2014
259,03/2014
260,03/2014
261,01/2014
262,03/2014
263,05/2014
264,12/2014
265,12/2014
266,02/2014
267,01/2014
268,05/2014
269,08/2014
270,01/2014
271,08/2014
272,01/2014
273,12/2014
274,01/2014
275,02/2014
276,10/2014
277,05/2014
278,05/2014
279,07/2014
280,09/2014
281,03/2014
282,05/2014
283,12/2014
284,02/2014
285,05/2014
286,11/2014
287,11/2014
288,04/2014
289,02/2014
290,02/2014
291,03/2014
292,11/2014
293,10/2014
294,10/2014
295,08/2014
296,08/2014
297,04/2014
298,07/2014
299,02/2014
300,03/2014
301,12/2014
302,03/2014
303,02/2014
304,08/2014
305,01/2014
306,08/2014
307,09/2014
308,05/2014
309,08/2014
310,12/2014
311,11/2014
312,08/2014
313,01/2014
314,05/2014
315,04/2014
316,02/2014
317,12/2014
318,01/2014
319,11/2014
320,11/2014
321,04/2014
322,09/2014
323,07/2014
324,08/2014
325,11/2014
326,12/2014
327,06/2014
328,01/2014
329,02/2014
330,01/2014
331,06/2014
332,12/2014
333,06/2014
334,06/2014
335,01/2014
336,12/2014
337,11/2014
338,09/2014
339,10/2014
340,11/2014
341,01/2014
342,04/2014
343,03/2014
344,12/2014
345,05/2014
346,06/2014
347,07/2014
348,08/2014
349,03/2014
350,07/2014
351,12/2014
352,09/2014
353,01/2014
