DATE,DJIA
2013-01-01,13615.322857142857
2013-02-01,13967.330000000000
2013-03-01,14418.258000000000
2013-04-01,14675.909090909091
2013-05-01,15172.180454545455
2013-06-01,15035.754500000000
2013-07-01,15390.211363636364
2013-08-01,15195.347727272727
2013-09-01,15269.841000000000
2013-10-01,15289.291304347826
2013-11-01,15870.828000000000
2013-12-01,16095.774761904762
2014-01-01,16243.722380952381
2014-02-01,15958.443157894737
2014-03-01,16308.627619047619
2014-04-01,16399.502380952381
2014-05-01,16567.254761904762
2014-06-01,16843.754761904762
2014-07-01,16988.264090909091
2014-08-01,16775.154285714286
2014-09-01,17098.126666666667
2014-10-01,16701.870434782609
2014-11-01,17648.977368421053
2014-12-01,17754.240454545455
2015-01-01,17542.255000000000
2015-02-01,17945.412105263158
2015-03-01,17931.745000000000
2015-04-01,17970.513333333333
2015-05-01,18124.713000000000
2015-06-01,17927.219090909091
2015-07-01,17795.016818181818
2015-08-01,17061.593333333333
2015-09-01,16339.950000000000
2015-10-01,17182.282272727273
2015-11-01,17723.768500000000
2015-12-01,17542.855000000000
2016-01-01,16305.252105263158
2016-02-01,16299.898500000000
2016-03-01,17302.142727272727
2016-04-01,17844.365714285714
2016-05-01,17692.320000000000
2016-06-01,17754.867727272727
2016-07-01,18341.182500000000
2016-08-01,18495.187391304348
2016-09-01,18267.402857142857
2016-10-01,18184.546666666667
2016-11-01,18697.326666666667
2016-12-01,19712.423809523810
2017-01-01,19908.152500000000
2017-02-01,20424.144210526316
2017-03-01,20823.057826086957
2017-04-01,20684.693684210526
2017-05-01,20936.811363636364
2017-06-01,21317.795454545455
2017-07-01,21581.251000000000
2017-08-01,21914.076956521739
2017-09-01,22173.414000000000
2017-10-01,23036.237272727273
2017-11-01,23557.929523809524
2017-12-01,24545.384000000000
2018-01-01,25804.017619047619
2018-02-01,24981.545263157895
2018-03-01,24582.170476190476
2018-04-01,24304.212857142857
2018-05-01,24572.532272727273
2018-06-01,24790.108095238095
2018-07-01,24978.231428571429
2018-08-01,25629.988260869565
2018-09-01,26232.667894736842
2018-10-01,25609.341739130435
2018-11-01,25258.675238095238
2018-12-01,23805.545263157895
2019-01-01,24157.795238095238
2019-02-01,25605.526842105263
2019-03-01,25722.620952380952
2019-04-01,26401.577142857143
2019-05-01,25744.788636363636
2019-06-01,26160.101000000000
2019-07-01,27089.186818181818
2019-08-01,26058.225000000000
2019-09-01,26900.214000000000
2019-10-01,26736.796086956522
2019-11-01,27797.046000000000
2019-12-01,28167.005714285714
2020-01-01,28879.994285714286
2020-02-01,28519.731578947368
2020-03-01,22637.420909090909
2020-04-01,23293.900000000000
2020-05-01,24271.021500000000
2020-06-01,26062.270000000000
2020-07-01,26385.830909090909
2020-08-01,27821.367142857143
2020-09-01,27733.396190476190
2020-10-01,28005.105000000000
2020-11-01,29124.036500000000
2020-12-01,30148.580000000000
2021-01-01,30821.352631578947
2021-02-01,31283.910000000000
2021-03-01,32373.290869565217
2021-04-01,33803.286190476190
2021-05-01,34270.308500000000
2021-06-01,34289.907272727273
2021-07-01,34798.804285714286
2021-08-01,35243.965454545455
2021-09-01,34688.421428571429
2021-10-01,35055.518095238095
2021-11-01,35848.570952380952
2021-12-01,35641.334090909091
2022-01-01,35456.145000000000
2022-02-01,34648.480526315789
2022-03-01,34029.740434782609
2022-04-01,34314.990000000000
2022-05-01,32379.462857142857
2022-06-01,31446.712857142857
2022-07-01,31535.323500000000
2022-08-01,33009.564782608696
2022-09-01,30649.559523809524
2022-10-01,30570.683809523810
2022-11-01,.
