DATE,NASDAQCOM_PCH
2012-01-01,5.46284
2012-02-01,6.74925
2012-03-01,3.65094
2012-04-01,-0.02683
2012-05-01,-4.43782
2012-06-01,-1.72577
2012-07-01,2.44740
2012-08-01,3.85438
2012-09-01,3.43381
2012-10-01,-2.44009
2012-11-01,-3.89662
2012-12-01,2.13453
2013-01-01,4.06557
2013-02-01,1.38519
2013-03-01,2.11263
2013-04-01,0.46922
2013-05-01,5.81369
2013-06-01,-0.68696
2013-07-01,4.18438
2013-08-01,2.25349
2013-09-01,2.50921
2013-10-01,3.13406
2013-11-01,2.84108
2013-12-01,2.99056
2014-01-01,1.92538
2014-02-01,1.08537
2014-03-01,1.83138
2014-04-01,-3.67258
2014-05-01,0.39007
2014-06-01,4.77259
2014-07-01,2.34003
2014-08-01,0.69248
2014-09-01,1.94307
2014-10-01,-3.25943
2014-11-01,6.46052
2014-12-01,0.95994
2015-01-01,-1.24664
2015-02-01,3.86320
2015-03-01,1.72540
2015-04-01,0.97085
2015-05-01,0.87205
2015-06-01,0.86710
2015-07-01,0.19255
2015-08-01,-2.91546
2015-09-01,-3.78181
2015-10-01,2.75973
2015-11-01,4.17030
2015-12-01,-0.82572
2016-01-01,-8.52738
2016-02-01,-3.19925
2016-03-01,6.52611
2016-04-01,2.89598
2016-05-01,-2.12447
2016-06-01,1.42009
2016-07-01,3.45446
2016-08-01,3.84255
2016-09-01,0.71144
2016-10-01,0.03492
2016-11-01,0.08707
2016-12-01,2.89991
2017-01-01,2.73977
2017-02-01,3.65515
2017-03-01,1.73924
2017-04-01,0.80487
2017-05-01,3.59781
2017-06-01,1.62302
2017-07-01,1.13086
2017-08-01,0.26568
2017-09-01,1.84874
2017-10-01,2.72138
2017-11-01,2.92342
2017-12-01,1.37867
2018-01-01,5.65707
2018-02-01,-1.61722
2018-03-01,2.09073
2018-04-01,-3.10968
2018-05-01,3.60222
2018-06-01,4.16675
2018-07-01,1.46137
2018-08-01,1.74515
2018-09-01,1.15398
2018-10-01,-5.71472
2018-11-01,-3.86604
2018-12-01,-5.82899
2019-01-01,2.42670
2019-02-01,6.45336
2019-03-01,2.68219
2019-04-01,4.79330
2019-05-01,-2.37951
2019-06-01,0.26442
2019-07-01,4.85774
2019-08-01,-3.59104
2019-09-01,2.23447
2019-10-01,-0.10413
2019-11-01,5.42498
2019-12-01,3.06442
2020-01-01,5.18043
2020-02-01,2.00891
2020-03-01,-17.48244
2020-04-01,6.69311
2020-05-01,9.80714
2020-06-01,8.06439
2020-07-01,6.70624
2020-08-01,6.78511
2020-09-01,-1.10246
2020-10-01,3.12530
2020-11-01,3.14141
2020-12-01,6.99133
2021-01-01,4.49760
2021-02-01,4.17695
2021-03-01,-4.13901
2021-04-01,5.55575
2021-05-01,-2.75355
2021-06-01,4.28688
2021-07-01,3.84406
2021-08-01,1.48537
2021-09-01,1.12423
2021-10-01,-0.96200
2021-11-01,6.29021
2021-12-01,-2.15303
2022-01-01,-6.09427
2022-02-01,-4.35368
2022-03-01,-1.98194
2022-04-01,-1.68168
2022-05-01,-11.67996
2022-06-01,-3.47270
2022-07-01,1.78399
2022-08-01,8.15331
2022-09-01,-9.28708
2022-10-01,-5.27373
2022-11-01,.
