DATE,CAUCSFRCONDOSMSAMID_PCH
2012-01-01,-0.07020
2012-02-01,-0.08430
2012-03-01,0.04721
2012-04-01,0.23258
2012-05-01,0.41366
2012-06-01,0.58751
2012-07-01,0.66804
2012-08-01,0.75522
2012-09-01,0.84309
2012-10-01,1.12754
2012-11-01,1.23321
2012-12-01,1.70117
2013-01-01,1.70717
2013-02-01,1.94036
2013-03-01,1.93816
2013-04-01,2.05196
2013-05-01,2.02394
2013-06-01,2.08223
2013-07-01,1.94139
2013-08-01,1.76320
2013-09-01,1.53075
2013-10-01,1.41874
2013-11-01,1.41881
2013-12-01,1.32627
2014-01-01,1.34214
2014-02-01,1.13758
2014-03-01,0.60021
2014-04-01,0.22288
2014-05-01,0.08087
2014-06-01,0.13118
2014-07-01,0.11132
2014-08-01,-0.04856
2014-09-01,0.16591
2014-10-01,0.38947
2014-11-01,0.65561
2014-12-01,0.58631
2015-01-01,0.61772
2015-02-01,0.65590
2015-03-01,0.70982
2015-04-01,0.49475
2015-05-01,0.52723
2015-06-01,0.37720
2015-07-01,0.15363
2015-08-01,0.29712
2015-09-01,0.50292
2015-10-01,0.85366
2015-11-01,0.67629
2015-12-01,0.92087
2016-01-01,0.85404
2016-02-01,0.74223
2016-03-01,0.38473
2016-04-01,0.49847
2016-05-01,0.47990
2016-06-01,0.50684
2016-07-01,0.13183
2016-08-01,0.34141
2016-09-01,0.38999
2016-10-01,0.76179
2016-11-01,0.60003
2016-12-01,0.53325
2017-01-01,0.60335
2017-02-01,0.61702
2017-03-01,0.61158
2017-04-01,0.50642
2017-05-01,0.59886
2017-06-01,0.67223
2017-07-01,0.30910
2017-08-01,0.34100
2017-09-01,0.46859
2017-10-01,0.82686
2017-11-01,0.84327
2017-12-01,0.83150
2018-01-01,0.90889
2018-02-01,0.97684
2018-03-01,0.83017
2018-04-01,0.64303
2018-05-01,0.51182
2018-06-01,0.51109
2018-07-01,0.32088
2018-08-01,0.25883
2018-09-01,0.16499
2018-10-01,0.32221
2018-11-01,0.19503
2018-12-01,-0.02636
2019-01-01,-0.11487
2019-02-01,-0.16133
2019-03-01,-0.03162
2019-04-01,0.13372
2019-05-01,0.19209
2019-06-01,0.16315
2019-07-01,-0.00699
2019-08-01,0.07657
2019-09-01,0.19587
2019-10-01,0.35482
2019-11-01,0.26156
2019-12-01,0.36797
2020-01-01,0.46550
2020-02-01,0.71067
2020-03-01,0.81344
2020-04-01,0.60391
2020-05-01,-0.01789
2020-06-01,-0.18903
2020-07-01,0.39776
2020-08-01,1.17584
2020-09-01,1.48596
2020-10-01,1.41496
2020-11-01,1.28503
2020-12-01,1.14854
2021-01-01,1.02281
2021-02-01,1.15288
2021-03-01,1.26088
2021-04-01,1.63163
2021-05-01,2.23433
2021-06-01,2.63157
2021-07-01,2.76775
2021-08-01,1.98385
2021-09-01,1.39428
2021-10-01,0.69872
2021-11-01,0.76025
2021-12-01,0.93503
2022-01-01,1.38990
2022-02-01,1.62904
2022-03-01,1.98193
2022-04-01,1.87749
2022-05-01,1.39058
2022-06-01,0.29177
2022-07-01,-0.40032
2022-08-01,-1.15309
2022-09-01,-0.93387
